1969-12-31 18:00:00.00: STATUSTEXT {severity : 1, text : <startup_ground> GROUND START}
1969-12-31 18:00:00.00: STATUSTEXT {severity : 1, text : Demo Servos!}
1969-12-31 18:00:00.00: HEARTBEAT {type : 1, autopilot : 3, base_mode : 1, custom_mode : 16, system_status : 2, mavlink_version : 3}
1969-12-31 18:00:00.00: SYS_STATUS {onboard_control_sensors_present : 4294966283, onboard_control_sensors_enabled : 11, onboard_control_sensors_health : 4294966283, load : 0, voltage_battery : 10080, current_battery : -1, battery_remaining : -1, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
1969-12-31 18:00:00.00: STATUSTEXT {severity : 1, text : Demo Servos!}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FORMAT_VERSION, param_value : 13.0, param_type : 4, param_count : 256, param_index : 0}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : SYSID_SW_TYPE, param_value : 0.0, param_type : 2, param_count : 256, param_index : 1}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : SYSID_THISMAV, param_value : 1.0, param_type : 4, param_count : 256, param_index : 2}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : SYSID_MYGCS, param_value : 255.0, param_type : 4, param_count : 256, param_index : 3}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : TELEM_DELAY, param_value : 0.0, param_type : 2, param_count : 256, param_index : 5}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : KFF_PTCHCOMP, param_value : 0.20000000298, param_type : 9, param_count : 256, param_index : 6}
1969-12-31 18:00:00.00: HEARTBEAT {type : 1, autopilot : 3, base_mode : 1, custom_mode : 16, system_status : 2, mavlink_version : 3}
1969-12-31 18:00:00.00: SYS_STATUS {onboard_control_sensors_present : 4294966283, onboard_control_sensors_enabled : 11, onboard_control_sensors_health : 4294966283, load : 0, voltage_battery : 10080, current_battery : -1, battery_remaining : -1, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : KFF_RDDRMIX, param_value : 0.5, param_type : 9, param_count : 256, param_index : 7}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : KFF_PTCH2THR, param_value : 0.0, param_type : 9, param_count : 256, param_index : 8}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : KFF_THR2PTCH, param_value : 0.0, param_type : 9, param_count : 256, param_index : 9}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : STICK_MIXING, param_value : 1.0, param_type : 2, param_count : 256, param_index : 11}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : RUDDER_STEER, param_value : 0.0, param_type : 2, param_count : 256, param_index : 12}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : LAND_PITCH_CD, param_value : 0.0, param_type : 4, param_count : 256, param_index : 13}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : LAND_FLARE_ALT, param_value : 3.0, param_type : 9, param_count : 256, param_index : 14}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : LAND_FLARE_SEC, param_value : 2.0, param_type : 9, param_count : 256, param_index : 15}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : XTRK_GAIN_SC, param_value : 8.0, param_type : 9, param_count : 256, param_index : 16}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : XTRK_ANGLE_CD, param_value : 1500.0, param_type : 4, param_count : 256, param_index : 17}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : XTRK_USE_WIND, param_value : 1.0, param_type : 2, param_count : 256, param_index : 18}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : XTRK_MIN_DIST, param_value : 50.0, param_type : 4, param_count : 256, param_index : 19}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : ALT_MIX, param_value : 1.0, param_type : 9, param_count : 256, param_index : 20}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : ALT_CTRL_ALG, param_value : 0.0, param_type : 2, param_count : 256, param_index : 21}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : ALT_OFFSET, param_value : 0.0, param_type : 4, param_count : 256, param_index : 22}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : CMD_TOTAL, param_value : 1.0, param_type : 2, param_count : 256, param_index : 23}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : CMD_INDEX, param_value : 0.0, param_type : 2, param_count : 256, param_index : 24}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : WP_RADIUS, param_value : 30.0, param_type : 4, param_count : 256, param_index : 25}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : WP_LOITER_RAD, param_value : 45.0, param_type : 4, param_count : 256, param_index : 26}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FENCE_ACTION, param_value : 0.0, param_type : 2, param_count : 256, param_index : 27}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FENCE_TOTAL, param_value : 0.0, param_type : 2, param_count : 256, param_index : 28}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FENCE_CHANNEL, param_value : 0.0, param_type : 2, param_count : 256, param_index : 29}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FENCE_MINALT, param_value : 0.0, param_type : 4, param_count : 256, param_index : 30}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FENCE_MAXALT, param_value : 0.0, param_type : 4, param_count : 256, param_index : 31}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : ARSPD_FBW_MIN, param_value : 6.0, param_type : 4, param_count : 256, param_index : 32}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : ARSPD_FBW_MAX, param_value : 22.0, param_type : 4, param_count : 256, param_index : 33}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FBWB_ELEV_REV, param_value : 0.0, param_type : 2, param_count : 256, param_index : 34}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_MIN, param_value : 0.0, param_type : 2, param_count : 256, param_index : 35}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_MAX, param_value : 65.0, param_type : 2, param_count : 256, param_index : 36}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_SLEWRATE, param_value : 0.0, param_type : 2, param_count : 256, param_index : 37}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_SUPP_MAN, param_value : 0.0, param_type : 2, param_count : 256, param_index : 38}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_PASS_STAB, param_value : 0.0, param_type : 2, param_count : 256, param_index : 39}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_FAILSAFE, param_value : 1.0, param_type : 2, param_count : 256, param_index : 40}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THR_FS_VALUE, param_value : 950.0, param_type : 4, param_count : 256, param_index : 41}
1969-12-31 18:00:00.00: STATUSTEXT {severity : 1, text : Demo Servos!}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : TRIM_THROTTLE, param_value : 40.0, param_type : 2, param_count : 256, param_index : 42}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : THROTTLE_NUDGE, param_value : 1.0, param_type : 2, param_count : 256, param_index : 43}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FS_LONG_ACTN, param_value : 0.0, param_type : 2, param_count : 256, param_index : 45}
1969-12-31 18:00:00.00: PARAM_VALUE {param_id : FS_GCS_ENABL, param_value : 0.0, param_type : 2, param_count : 256, param_index : 46}
